Visão geral personalizada
14 de Abril de 2024 - 13 de Maio de 2024
Dia,Código da moeda,Custo,Interações,Taxa de interação,Impr.
2024-04-14,BRL,"0,00",0,0,0
2024-04-15,BRL,"0,00",0,0,0
2024-04-16,BRL,"0,00",0,0,0
2024-04-17,BRL,"0,00",0,0,0
2024-04-18,BRL,"0,00",0,0,0
2024-04-19,BRL,"0,00",0,0,0
2024-04-21,BRL,"0,00",0,0,0
2024-04-22,BRL,"0,00",0,0,0
2024-04-25,BRL,"0,00",0,0,0
2024-04-26,BRL,"0,00",0,0,0
2024-04-27,BRL,"0,00",0,"0,00%",1
2024-04-28,BRL,"0,00",0,"0,00%",40
2024-04-29,BRL,"34,15",8,"5,26%",152
2024-04-30,BRL,"19,43",5,"4,46%",112
2024-05-01,BRL,"16,64",7,"3,43%",204
2024-05-02,BRL,"12,87",2,"4,17%",48
2024-05-03,BRL,"24,08",8,"8,00%",100
2024-05-04,BRL,"21,39",5,"5,68%",88
2024-05-05,BRL,"0,53",2,"5,71%",35
2024-05-06,BRL,"13,38",4,"3,74%",107
2024-05-07,BRL,"19,56",4,"13,33%",30
2024-05-08,BRL,"20,88",8,"10,96%",73
2024-05-09,BRL,"1,66",1,"3,23%",31
2024-05-10,BRL,"14,15",3,"1,73%",173
2024-05-11,BRL,"32,84",4,"5,00%",80
2024-05-12,BRL,"1,19",1,"3,03%",33
2024-05-13,BRL,"20,16",1,"2,13%",47
